framework,pinned_commit,relative_path,line,behavior_kind,detail,mixed_subclass,classification_basis,source_excerpt,implemented_and_semantically_tested,coverage_gain_claimed
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2056,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2100,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,provider = InMemoryHistoryProvider(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2101,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2117,state_memory,session.state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"stored = cast(""list[Message]"", session.state.get(provider.source_id, {}).get(""messages"", []))",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2129,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"inner_provider = InMemoryHistoryProvider(source_id=""inner_history"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2130,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"outer_provider = InMemoryHistoryProvider(source_id=""outer_history"", load_messages=False)",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2131,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2154,agents_as_tools,sub_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,"tools=[sub_agent.as_tool(propagate_session=True)],",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2154,agents_as_tools,sub_agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,"tools=[sub_agent.as_tool(propagate_session=True)],",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2171,state_memory,session.state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"assert session.state.get(""outer_history"", {}).get(""messages"", []) == []",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2235,agents_as_tools,sub_agent.as_tool,FRAMEWORK_CONTRACT_BOUNDED,Agent-as-Tool has a framework call/return contract but optional callbacks remain,sub_tool = sub_agent.as_tool(stream_callback=observe),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2262,agents_as_tools,sub_agent.as_tool,FRAMEWORK_CONTRACT_BOUNDED,Agent-as-Tool has a framework call/return contract but optional callbacks remain,sub_tool = sub_agent.as_tool(stream_callback=observe),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agent_hooks.py,2280,agents_as_tools,sub_agent.as_tool,FRAMEWORK_CONTRACT_BOUNDED,Agent-as-Tool has a framework call/return contract but optional callbacks remain,sub_tool = sub_agent.as_tool(stream_callback=observe),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,65,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,for function_name in function_names:,NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,97,state_memory,state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state[""get_call_count""] = state.get(""get_call_count"", 0) + 1",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,98,state_memory,state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"return list(cast(list[Message], state.get(""messages"", [])))",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,110,state_memory,state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state[""save_call_count""] = state.get(""save_call_count"", 0) + 1",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,111,state_memory,state.setdefault,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state.setdefault(""messages"", []).extend(messages)",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,123,state_memory,state.setdefault,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"state.setdefault(""response_ids"", []).append(context.response.response_id if context.response else None)",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,383,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,393,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"agent = Agent(client=client, context_providers=[InMemoryHistoryProvider()])",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,395,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,398,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session_context, _ = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,402,state_memory,session_context.get_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,result_messages = session_context.get_messages(include_input=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,417,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,419,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"_, prepared_chat_options = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,435,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,469,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,520,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,565,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,623,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,688,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,745,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,806,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,854,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,920,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"context_providers=[InMemoryHistoryProvider()],",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,923,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"result = await agent.run(""Hello"", session=AgentSession(), options={""store"": False})",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,933,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,959,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,985,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""123"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1004,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""resp_old_123"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1032,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1064,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""resp_old_456"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1088,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1127,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1159,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1165,state_memory,session.state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"chat_messages: list[Message] = session.state.get(InMemoryHistoryProvider.DEFAULT_SOURCE_ID, {}).get(""messages"", [])",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1177,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1184,state_memory,session.state.get,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"chat_messages: list[Message] = session.state.get(InMemoryHistoryProvider.DEFAULT_SOURCE_ID, {}).get(""messages"", [])",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1196,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""123"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1296,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""test-thread-id"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1467,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session_context, _ = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1470,state_memory,session_context.get_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,messages = session_context.get_messages(include_input=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1492,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session_context, _ = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1495,state_memory,session_context.get_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,messages = session_context.get_messages(include_input=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1538,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""existing-thread-id"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1550,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1565,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(,NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1591,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1608,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,agent.as_tool(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1617,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1640,agents_as_tools,agent.as_tool,FRAMEWORK_CONTRACT_BOUNDED,Agent-as-Tool has a framework call/return contract but optional callbacks remain,tool = agent.as_tool(stream_callback=stream_callback),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1660,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,"tool = agent.as_tool(arg_name=""prompt"", arg_description=""Custom prompt input"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1680,agents_as_tools,agent.as_tool,FRAMEWORK_CONTRACT_BOUNDED,Agent-as-Tool has a framework call/return contract but optional callbacks remain,tool = agent.as_tool(stream_callback=async_stream_callback),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1708,loop,For,EXTRACTOR_AMBIGUOUS,static extractor did not establish a finite source bound,"for agent_name, expected_tool_name in test_cases:",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1710,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1717,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(propagate_session=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1719,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""parent-session-123"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1753,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool()  # default: propagate_session=False,NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1755,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""parent-session-456"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1781,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(propagate_session=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1783,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""shared-session"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1812,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(propagate_session=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1814,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""shared-session"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1852,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(propagate_session=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1854,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""shared-session"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1878,agents_as_tools,agent.as_tool,SOURCE_TRACEABLE_BOUNDED,static target and call site are source-visible; recursive depth remains a separate profile bound,tool = agent.as_tool(propagate_session=True),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,1880,state_memory,AgentSession,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"parent_session = AgentSession(session_id=""shared-session"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2110,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2149,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2642,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2661,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2674,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id=""test-thread-123"")",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2688,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.get_session(service_session_id=structured_service_session_id),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2700,state_memory,agent.get_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session = agent.get_session(service_session_id={""context_id"": ""ctx-123""})",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2719,state_memory,AgentSession.from_dict,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = AgentSession.from_dict(serialized_state),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2772,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"_, options = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2801,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"_, options = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2837,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"_, options = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2871,state_memory,agent._prepare_session_and_messages,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"session_context, _ = await agent._prepare_session_and_messages(  # pyright: ignore[reportPrivateUsage]",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2877,state_memory,session_context.get_middleware,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,assert session_context.get_middleware() == [context_chat_middleware],NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2893,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2908,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2925,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2940,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2962,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2985,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,2999,state_memory,InMemoryHistoryProvider,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,"existing = InMemoryHistoryProvider(""custom"", load_messages=True)",NO,NO
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_agents.py,3001,state_memory,agent.create_session,EXTRACTOR_AMBIGUOUS,broad name heuristic does not establish protected state semantics,session = agent.create_session(),NO,NO
